Year,Year ending,Local Government Area,Sex,Victim Reports
2022,December,Loddon,Males,99
2022,December,Loddon,Organisations,61
2022,December,Loddon,People,182
2022,December,Macedon Ranges,Females,352
2022,December,Macedon Ranges,Males,436
2022,December,Macedon Ranges,Organisations,306
2022,December,Macedon Ranges,People,799
2022,December,Manningham,Females,851
2022,December,Manningham,Males,992
2022,December,Manningham,Organisations,659
2022,December,Manningham,People,"1,865"
2022,December,Mansfield,Females,59
2022,December,Mansfield,Males,70
2022,December,Mansfield,Organisations,48
2022,December,Mansfield,People,129
2022,December,Maribyrnong,Females,"1,796"
2022,December,Maribyrnong,Males,"2,418"
2022,December,Maribyrnong,Organisations,"1,466"
2022,December,Maribyrnong,People,"4,273"
2022,December,Maroondah,Females,"1,221"
2022,December,Maroondah,Males,"1,232"
2022,December,Maroondah,Organisations,968
2022,December,Maroondah,People,"2,504"
2022,December,Melbourne,Females,"5,445"
2022,December,Melbourne,Males,"7,944"
2022,December,Melbourne,Organisations,"5,149"
2022,December,Melbourne,People,"13,676"
2022,December,Melton,Females,"2,361"
2022,December,Melton,Males,"2,348"
2022,December,Melton,Organisations,"2,033"
2022,December,Melton,People,"4,789"
2022,December,Merri-bek,Females,"2,622"
2022,December,Merri-bek,Males,"3,360"
2022,December,Merri-bek,Organisations,"1,759"
2022,December,Merri-bek,People,"6,049"
2022,December,Mildura,Females,"1,424"
2022,December,Mildura,Males,"1,466"
2022,December,Mildura,Organisations,875
2022,December,Mildura,People,"2,923"
2022,December,Mitchell,Females,619
2022,December,Mitchell,Males,618
2022,December,Mitchell,Organisations,410
2022,December,Mitchell,People,"1,263"
2022,December,Moira,Females,391
2022,December,Moira,Males,414
2022,December,Moira,Organisations,232
2022,December,Moira,People,822
2022,December,Monash,Females,"2,286"
2022,December,Monash,Males,"3,192"
2022,December,Monash,Organisations,"1,972"
2022,December,Monash,People,"5,558"
2022,December,Moonee Valley,Females,"1,488"
2022,December,Moonee Valley,Males,"1,886"
2022,December,Moonee Valley,Organisations,"1,365"
2022,December,Moonee Valley,People,"3,429"
2022,December,Moorabool,Females,400
2022,December,Moorabool,Males,394
2022,December,Moorabool,Organisations,256
2022,December,Moorabool,People,810
2022,December,Mornington Peninsula,Females,"1,831"
2022,December,Mornington Peninsula,Males,"1,935"
2022,December,Mornington Peninsula,Organisations,"1,180"
2022,December,Mornington Peninsula,People,"3,815"
2022,December,Mount Alexander,Females,165
2022,December,Mount Alexander,Males,181
2022,December,Mount Alexander,Organisations,158
2022,December,Mount Alexander,People,353
2022,December,Moyne,Females,129
2022,December,Moyne,Males,136
2022,December,Moyne,Organisations,79
2022,December,Moyne,People,271
2022,December,Murrindindi,Females,143
2022,December,Murrindindi,Males,157
2022,December,Murrindindi,Organisations,66
2022,December,Murrindindi,People,301
2022,December,Nillumbik,Females,366
2022,December,Nillumbik,Males,362
2022,December,Nillumbik,Organisations,207
2022,December,Nillumbik,People,736
2022,December,Northern Grampians,Females,170
2022,December,Northern Grampians,Males,194
2022,December,Northern Grampians,Organisations,80
